Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
696,Applied Industrial Technologies,,Wholesalers,Wholesalers: Diversified,yes,74,yes,no,,no,no,no,6200,7639.2,4412.8,15.8,346.7,34.7,2743.3,Public,7639
697,PriceSmart,,Retailing,General Merchandisers,yes,40,yes,no,,no,no,no,11000,2563.3,4411.8,8.5,109.2,4.5,2005.6,Public,2563
698,Lyft,,Technology,Internet Services and Retailing,no,36,yes,no,,no,no,no,2945,7736.3,4403.6,7.5,-340.3,,4564.5,Public,7736
699,Ciena,,Technology,Network and Other Communications Equipment,yes,98,yes,no,,no,no,no,8398,7150.6,4386.5,20.8,254.8,66.7,5601.5,Public,7151
700,IAC,,Technology,Internet Services and Retailing,yes,-70,no,yes,,no,no,no,9500,4585.4,4365.2,-16.6,265.9,,10371.2,Public,4585
701,Country Financial,,Financials,Insurance: Property and Casualty (Mutual),no,59,yes,no,,no,no,no,3275,,4358.3,11.4,-65.4,-129.5,17272.8,Private,
702,Western Union,,Business Services,Financial Data Services,yes,-4,no,yes,,no,no,no,9000,4783.9,4357,-2.6,626,-31.3,8198.8,Public,4784
703,Flowserve,,Industrials,Industrial Machinery,yes,97,yes,no,,no,no,no,16000,5994.4,4320.6,19.5,186.7,-1,5108.7,Public,5994
704,Western Alliance Bancorp.,,Financials,Commercial Banks,yes,187,yes,no,,no,no,no,3260,7072.5,4316,43.1,722.4,-31.7,70862,Public,7073
705,Option Care Health,,Health Care,Health Care: Pharmacy and Other Services,yes,45,yes,no,,no,no,no,6806,5819.1,4302.3,9.1,267.1,77.4,3217,Public,5819
706,SiteOne Landscape Supply,,Wholesalers,Wholesalers: Diversified,yes,35,yes,no,,no,no,no,7585,7887.3,4301.2,7.1,173.4,-29.3,2828.9,Public,7887
707,Topgolf Callaway Brands,,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",yes,36,yes,no,,no,no,no,32000,2968.8,4284.8,7.2,95,-39.8,9120.6,Public,2969
708,eXp World Holdings,,Financials,Real estate,no,-23,no,yes,,no,no,no,2114,1569.7,4281.1,-6.9,-9,-158.1,385.7,Public,1570
709,Abercrombie & Fitch,,Retailing,Specialty Retailers: Apparel,yes,80,yes,no,,no,no,no,19200,6317.3,4280.7,15.8,328.1,11552.1,2974.2,Public,6317
710,Atmos Energy,,Energy,Utilities: Gas and Electric,yes,12,yes,no,,no,no,no,5019,17930.3,4275.4,1.8,885.9,14.4,22517,Public,17930
711,Catalent,,Health Care,Pharmaceuticals,no,-49,no,yes,,no,no,no,17800,10202.6,4263,-11.2,-256,-153,10777,Public,10203
712,Brown & Brown,,Financials,Insurance: Property and Casualty (Stock),yes,95,yes,no,,no,no,no,16152,24978.7,4257.1,19.1,870.5,29.6,14883.4,Public,24979
713,GoDaddy,,Technology,Internet Services and Retailing,yes,22,yes,no,,no,no,no,6159,16909.3,4254.1,4,1374.8,290.3,7564.9,Public,16909
714,American Water Works,,Energy,Utilities: Gas and Electric,yes,60,yes,no,,no,no,no,6500,23809.2,4234,11.7,944,15.1,30298,Public,23809
715,Selective Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,95,yes,no,,no,no,no,2650,6636.6,4232.1,18.9,365.2,62.4,11802.5,Public,6637
716,Brown-Forman,,"Food, Beverages & Tobacco",Beverages,yes,35,yes,no,,no,no,no,5600,24616.6,4228,7.5,783,-6.6,7777,Public,24617
717,Advantage Solutions,,Business Services,"Advertising, marketing",no,21,yes,no,,no,no,no,45000,1387.4,4224.8,4.3,-63.3,,3779.3,Public,1387
718,ResMed,,Health Care,Medical Products and Equipment,yes,86,yes,no,,no,no,no,10140,29086.8,4223,18,897.6,15.2,6751.7,Public,29087
719,Splunk,,Technology,Computer Software,yes,76,yes,no,,no,no,no,7500,,4215.6,15.4,263.7,,6687.4,Private,15868
720,Plexus,,Technology,Semiconductors and Other Electronic Components,yes,49,yes,no,,no,no,no,25000,2618.1,4210.3,10.5,139.1,0.6,3321.2,Public,2618
721,Hub Group,,Transportation,Transportation and Logistics,yes,-101,no,yes,,no,no,no,5950,2715.4,4202.6,-21.3,167.5,-53.1,2936,Public,2715
722,Lincoln Electric Holdings,,Industrials,Industrial Machinery,yes,55,yes,no,,no,no,no,12000,14515.4,4191.6,11.4,545.2,15.5,3377.3,Public,14515
723,NCR Atleos,,Business Services,Financial Data Services,no,0,no,no,,no,no,no,20000,1424,4191,,-134,,5741,Public,1424
724,Calumet,,Energy,Petroleum Refining,yes,-50,no,yes,,no,no,no,1580,1192.1,4181,-10.8,48.1,,2751.3,Public,1192
725,Dycom Industries,,Engineering & Construction,Engineering & Construction,yes,46,yes,no,,no,no,no,15611,4175.5,4175.6,9.6,218.9,53.9,2516.9,Public,4176
726,Valmont Industries,,Materials,Metals,yes,-15,no,yes,,no,no,no,11125,4607.7,4174.6,-3.9,150.8,-39.9,3477.4,Public,4608
727,ATI,,Materials,Metals,yes,38,yes,no,,no,no,no,7300,6367.6,4173.7,8.8,410.8,213.8,4985.1,Public,6368
728,Twilio,,Technology,Internet Services and Retailing,no,39,yes,no,,no,no,no,5867,11133,4153.9,8.6,-1015.4,,11609.7,Public,11133
729,CNO Financial Group,,Financials,"Insurance: Life, Health (stock)",yes,77,yes,no,,no,no,no,3500,2985.6,4146.8,15.9,276.5,-30.3,35102.5,Public,2986
730,Patterson-UTI Energy,,Energy,"Oil and Gas Equipment, Services",yes,221,yes,no,,no,no,no,10600,4873.8,4146.5,56.6,246.3,59.2,7420,Public,4874
731,Brinker International,,"Hotels, Restaurants & Leisure",Food Services,yes,42,yes,no,,no,no,no,64323,2197.2,4133.2,8.7,102.6,-12.8,2487,Public,2197
732,Charles River Laboratories International,,Health Care,Health Care: Pharmacy and Other Services,yes,13,yes,no,,no,yes,no,21100,13956.8,4129.4,3.9,474.6,-2.4,8195,Public,13957
733,Hyster-Yale,,Industrials,Industrial Machinery,yes,80,yes,no,,no,no,no,8600,1122.3,4118.3,16.1,125.9,,2079.1,Public,1122
734,Brighthouse Financial,,Financials,"Insurance: Life, Health (stock)",no,-286,no,yes,,no,no,no,1500,3240.9,4117,-51.4,-1112,-22340,236340,Public,3241
735,Service Corp. International,,Business Services,Miscellaneous,yes,-4,no,yes,,no,no,no,21267,10872.8,4099.8,-0.2,537.3,-5,16355.4,Public,10873
736,CrossAmerica Partners,,Energy,"Oil and Gas Equipment, Services",yes,-65,no,yes,,no,no,no,2521,865.6,4090.5,-12.9,42.6,-33.1,1181.7,Public,866
737,Cadence,,Technology,Computer Software,yes,72,yes,no,,no,no,yes,11226,84855.2,4090,14.8,1041.1,22.6,5669.5,Public,84855
738,MillerKnoll,,Household Products,"Home Equipment, Furnishings",yes,11,yes,no,,no,no,no,10900,1803,4087.1,3.6,42.1,,4274.8,Public,1803
739,Realty Income,,Financials,Real estate,yes,103,yes,no,,no,no,no,418,46586.8,4079,22,872.3,0.3,57779.4,Public,46587
740,Middleby,,Industrials,Industrial Machinery,yes,-1,no,yes,,no,no,no,10722,8644.6,4036.6,0.1,400.9,-8.2,6906.7,Public,8645
741,M/I Homes,,Engineering & Construction,Homebuilders,yes,-12,no,yes,,no,no,no,1607,3789.8,4033.5,-2.4,465.4,-5.2,4022.4,Public,3790
742,Hologic,,Health Care,Medical Products and Equipment,yes,-82,no,yes,,no,no,no,6990,18299.7,4030.4,-17.1,456,-65,9139.3,Public,18300
743,Alliant Energy,,Energy,Utilities: Gas and Electric,yes,-22,no,yes,,no,no,no,3281,12907.5,4027,-4.2,703,2.5,21237,Public,12908
744,Generac Holdings,,Industrials,Industrial Machinery,yes,-54,no,yes,,no,no,no,8458,7602.4,4022.7,-11.9,214.6,-46.3,5093.3,Public,7602
745,MSC Industrial Direct,,Wholesalers,Wholesalers: Diversified,yes,45,yes,no,,no,no,no,7254,5463.4,4009.3,8.6,343.2,1,2544.1,Public,5463
746,Rocket Companies,,Financials,Diversified Financials,no,-173,no,yes,,no,no,yes,14700,28891.1,4005.9,-33.3,-15.5,-133.4,19231.7,Public,28891
747,Upbound Group,,Retailing,Specialty Retailers: Other,no,-28,no,yes,,no,no,no,12970,1916,3992.4,-6,-5.2,-141.9,2721.4,Public,1916
748,East West Bancorp,,Financials,Commercial Banks,yes,209,yes,no,,no,no,no,3206,11077.8,3989.1,52.3,1161.2,2.9,69612.9,Public,11078
749,Hilton Grand Vacations,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,17,yes,no,,no,no,no,15000,4945,3978,3.7,313,-11.1,8685,Public,4945
750,Grocery Outlet Holding,,Food & Drug Stores,Food & Drug Stores,yes,55,yes,no,,no,no,no,949,2855.8,3969.5,10.9,79.4,22.1,2969.6,Public,2856
751,Dentsply Sirona,,Health Care,Medical Products and Equipment,no,6,yes,no,,no,no,no,15000,6882.4,3965,1.1,-132,,7370,Public,6882
752,V2X,,Aerospace & Defense,Aerospace & Defense,no,155,yes,no,,no,no,no,16000,1469.2,3963.1,37.1,-22.6,,3081.9,Public,1469
753,Crocs,,Apparel,Apparel,yes,59,yes,no,,no,no,no,7030,8699.7,3962.3,11.5,792.6,46.7,4643.8,Public,8700
754,Spectrum Brands Holdings,,Household Products,Household and Personal Products,yes,-87,no,yes,,no,no,no,3100,2694.5,3961.3,-17.2,1801.5,2416.1,5258.4,Public,2695
755,Visteon,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,24,yes,no,,no,no,no,10000,3233.3,3954,5.3,486,291.9,2727,Public,3233
756,Acuity Brands,,Industrials,"Electronics, Electrical Equip.",yes,-14,no,yes,,no,no,no,12200,8281.4,3952.2,-1.3,346,-9.9,3408.5,Public,8281
757,Greenbrier,,Transportation,Transportation Equipment,yes,139,yes,no,,no,no,no,13800,1619.8,3944,32.5,62.5,33.3,3978.4,Public,1620
758,Webster Financial,,Financials,Commercial Banks,yes,181,yes,no,,no,no,no,4196,8709.8,3942.6,44.7,867.8,34.7,74945.2,Public,8710
759,Cabot,,Chemicals,Chemicals,yes,-43,no,yes,,no,no,no,4268,5110.7,3931,-9,445,112.9,3604,Public,5111
760,RXO,,Transportation,"Trucking, Truck Leasing",yes,-95,no,yes,,no,no,no,7242,2560.9,3927,-18.1,4,-95.7,1825,Public,2561
761,Chord Energy,,Energy,"Mining, Crude-Oil Production",yes,33,yes,no,,no,no,no,514,7404.7,3896.6,6.6,1023.8,-44.8,6926.2,Public,7405
762,Popular,,Financials,Commercial Banks,yes,76,yes,no,,no,no,no,9088,6368.4,3896,15.9,541.3,-50.9,70758.2,Public,6368
763,Garrett Motion,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,38,yes,no,,no,no,no,8650,2263.4,3886,7.9,261,-33.1,2527,Public,2263
764,Tutor Perini,,Engineering & Construction,Engineering & Construction,no,12,yes,no,,no,no,no,8200,752.3,3880.2,2.4,-171.2,,4429.9,Public,752
765,Copart,,Retailing,"Automotive Retailing, Services",yes,55,yes,no,,no,no,no,12000,55687.9,3869.5,10.5,1237.7,13.5,6737.9,Public,55688
766,Toast,,Business Services,Financial Data Services,no,171,yes,no,,no,no,no,5500,13656.2,3865,41.5,-246,,1958,Public,13656
767,Align Technology,,Health Care,Medical Products and Equipment,yes,19,yes,no,,no,no,no,21610,24628.1,3862.3,3.4,445.1,23.1,6083.9,Public,24628
768,A.O. Smith,,Industrials,"Electronics, Electrical Equip.",yes,12,yes,no,,no,no,no,12000,13156.3,3852.8,2.6,556.6,136.1,3213.9,Public,13156
769,TransUnion,,Business Services,Financial Data Services,no,13,yes,no,,no,no,no,13200,15499.5,3831.2,2.3,-206.2,-176.5,11105.1,Public,15500
770,NCR Voyix,,Technology,Computer Software,no,-296,no,yes,,no,no,no,15500,1822.4,3830,-51.2,-423,-805,4990,Public,1822
771,Akamai Technologies,,Technology,Internet Services and Retailing,yes,28,yes,no,,no,no,no,10281,16663.3,3811.9,5.4,547.6,4.6,9900,Public,16663
772,Trimble,,Technology,"Electronics, Electrical Equip.",yes,19,yes,no,,no,no,no,12700,15812.4,3798.7,3.3,311.3,-30.8,9539.3,Public,15812
773,Medical Mutual of Ohio,,Financials,"Insurance: Life, Health (Mutual)",yes,50,yes,no,,no,no,no,3084,,3795.5,8.7,65.9,103.6,2787.4,Private,
774,AMN Healthcare Services,,Health Care,Health Care: Pharmacy and Other Services,yes,-146,no,yes,,no,no,no,3585,2368.4,3789.3,-27.7,210.7,-52.6,2924.4,Public,2368
775,Mettler-Toledo International,,Technology,"Scientific,Photographic and  Control Equipment",yes,-17,no,yes,,no,no,no,16650,28473.6,3788.3,-3.4,788.8,-9.6,3355.6,Public,28474
776,ScanSource,,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,41,yes,no,,no,yes,no,2300,1108.5,3787.7,7.3,89.8,1.1,2068.2,Public,1109
777,LCI Industries,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,-143,no,yes,,no,no,no,11700,3131.6,3784.8,-27.3,64.2,-83.7,2959.3,Public,3132
778,Cboe Global Markets,,Financials,Securities,yes,-31,no,yes,,no,no,no,1647,19398.5,3773.5,-4.7,761.4,224,7487.5,Public,19399
779,Diebold Nixdorf,,Technology,"Computers, Office Equipment",no,50,yes,no,,no,no,no,21000,1293.8,3760.5,8.7,,,4162,Public,1294
780,ChampionX,,Energy,"Oil and Gas Equipment, Services",yes,-8,no,yes,,no,no,no,7100,6858.6,3758.3,-1.3,314.2,102.8,3241.7,Public,6859
781,Corpay,,Business Services,Financial Data Services,yes,50,yes,no,,no,no,no,10500,22169.7,3757.7,9.6,981.9,2.9,15476.3,Public,22170
782,iHeartMedia,,Media,Entertainment,no,-21,no,yes,,no,no,no,9990,313.1,3751,-4.1,-1102.7,,6952.6,Public,313
783,Travel + Leisure,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,25,yes,no,,no,yes,no,19000,3477.7,3750,5.1,396,10.9,6738,Public,3478
784,Dream Finders Homes,,Engineering & Construction,Homebuilders,yes,59,yes,no,,no,no,no,1236,4078.5,3748.6,12.2,295.9,12.8,2562.4,Public,4079
785,Boyd Gaming,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,26,yes,no,,no,no,no,16129,6466.3,3738.5,5.2,620,-3,6273.1,Public,6466
786,NLV Financial,,Financials,"Insurance: Life, Health (stock)",yes,0,no,no,,no,no,no,1370,,3735,59.6,217.4,64.3,45472.1,Private,
787,Ensign Group,,Health Care,Health Care: Medical Facilities,yes,102,yes,no,,no,no,no,35300,7080.1,3729.4,23.3,209.4,-6.8,4177.5,Public,7080
788,Sally Beauty Holdings,,Retailing,Specialty Retailers: Other,yes,-20,no,yes,,no,no,no,20000,1302.7,3728.1,-2.3,184.6,0.6,2725.3,Public,1303
789,Conduent,,Business Services,Diversified Outsourcing Services,no,-26,no,yes,,no,no,no,59000,709.7,3722,-3.5,-296,,3162,Public,710
790,Sylvamo,,Materials,Forest and Paper Products,yes,-63,no,yes,,no,no,no,6500,2559.8,3721,-10.3,253,114.4,2872,Public,2560
791,Tri Pointe Homes,,Engineering & Construction,Homebuilders,yes,-81,no,yes,,no,yes,no,1438,3710.3,3715.2,-14.6,343.7,-40.3,4914.6,Public,3710
792,EnerSys,,Industrials,"Electronics, Electrical Equip.",yes,49,yes,no,,no,no,no,11350,3817.7,3708.6,10.5,175.8,22.2,3616.7,Public,3818
793,Incyte,,Health Care,Pharmaceuticals,yes,39,yes,no,,no,no,no,2524,12791.3,3695.6,8.9,597.6,75.4,6782.1,Public,12791
794,Century Communities,,Engineering & Construction,Homebuilders,yes,-99,no,yes,,no,no,no,1650,3066.9,3692.2,-18.1,259.2,-50.6,4139.4,Public,3067
795,Rithm Capital,,Financials,Real estate,yes,-112,no,yes,,no,no,no,6570,5392.8,3691.9,-19.9,622.3,-34.8,35311.8,Public,5393
796,Euronet Worldwide,,Business Services,Financial Data Services,yes,43,yes,no,,no,no,no,10000,5032.9,3688,9.8,279.7,21.1,5894.4,Public,5033
797,Hawaiian Electric Industries,,Energy,Utilities: Gas and Electric,yes,-13,no,yes,,no,no,no,3652,1243.1,3682.2,-1.6,199.2,-17.4,17243.8,Public,1243
798,DraftKings,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",no,0,no,no,,no,no,no,4400,39447.3,3665.4,63.6,-802.1,,3944.9,Public,39447
799,IDEXX Laboratories,,Health Care,Medical Products and Equipment,yes,36,yes,no,,no,no,no,11000,44843.4,3661,8.7,845,24.4,3259.9,Public,44843
800,MYR Group,,Engineering & Construction,Engineering & Construction,yes,93,yes,no,,no,no,no,9000,2958.7,3643.9,21.1,91,9.1,1578.7,Public,2959
801,Deckers Outdoor,,Apparel,Apparel,yes,72,yes,no,,no,no,no,4200,24160.5,3627.3,15.1,516.8,14.4,2556.2,Public,24161
802,DexCom,,Health Care,Medical Products and Equipment,yes,103,yes,no,,no,no,no,9550,53471,3622.3,24.5,541.5,58.7,6264.5,Public,53471
803,MKS Instruments,,Technology,Semiconductors and Other Electronic Components,no,11,yes,no,,no,no,no,10100,8918.4,3622,2.1,-1841,-652.9,9118,Public,8918
804,VICI Properties,,Financials,Real estate,yes,160,yes,no,,no,no,no,28,31075.1,3612,38.9,2513.5,124.9,44059.8,Public,31075
805,Cooper Cos.,,Health Care,Medical Products and Equipment,yes,45,yes,no,,no,no,no,15000,20165.8,3593.2,8.6,294.2,-23.7,11658.9,Public,20166
806,Frontier Group Holdings,,Transportation,Airlines,no,40,yes,no,,no,no,no,7214,1811.6,3589,7.9,-11,,4993,Public,1812
807,Qorvo,,Technology,Semiconductors and Other Electronic Components,yes,-131,no,yes,,no,no,no,8500,11086.7,3569.4,-23.2,103.2,-90,6691.9,Public,11087
808,Five Below,,Retailing,Specialty Retailers: Other,yes,72,yes,no,,no,no,no,14500,10018.5,3559.4,15.7,301.1,15.1,3872,Public,10019
809,TreeHouse Foods,,"Food, Beverages & Tobacco",Food Consumer Products,yes,-132,no,yes,,no,no,no,7400,2097.9,3552.9,-23.4,53.1,,4106.6,Public,2098
810,Scotts Miracle-Gro,,Chemicals,Chemicals,no,-54,no,yes,,no,no,no,6375,4228.7,3551.3,-9.5,-380.1,,3413.7,Public,4229
811,Atlassian,,Technology,Computer Software,no,105,yes,no,,no,no,yes,10726,50612.9,3534.6,26.1,-486.8,,4106.8,Public,50613
812,Entegris,,Technology,Semiconductors and Other Electronic Components,yes,43,yes,no,,no,no,no,8000,21184.1,3523.9,7.4,180.7,-13.5,8812.6,Public,21184
813,Atkore,,Industrials,"Electronics, Electrical Equip.",yes,-54,no,yes,,no,no,no,5208,6999.2,3518.8,-10.1,689.9,-24.5,2935,Public,6999
814,H.B. Fuller,,Chemicals,Chemicals,yes,-33,no,yes,,no,no,no,7200,4345,3510.9,-6.4,144.9,-19.6,4723.6,Public,4345
815,Granite Construction,,Engineering & Construction,Engineering & Construction,yes,38,yes,no,,no,yes,no,4100,2512.1,3509.1,6.3,43.6,-47.7,2813.5,Public,2512
816,Winnebago Industries,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,-162,no,yes,,no,no,no,6250,2165.9,3490.7,-29.6,215.9,-44.7,2432.4,Public,2166
817,FTI Consulting,,Business Services,Diversified Outsourcing Services,yes,71,yes,no,,no,no,no,7990,7472.3,3489.2,15.2,274.9,16.7,3325.9,Public,7472
818,AptarGroup,,Materials,"Packaging, Containers",yes,29,yes,no,,no,no,no,13800,9520.6,3487.5,5,284.5,18.9,4451.9,Public,9521
819,Columbia Sportswear,,Apparel,Apparel,yes,8,yes,no,,no,no,no,10070,4854.2,3487.2,0.7,251.4,-19.3,2939,Public,4854
820,Roku,,Media,Entertainment,no,55,yes,no,,no,no,no,3150,9353.3,3484.6,11.5,-709.6,,4261.8,Public,9353
821,Civitas Resources,,Energy,"Mining, Crude-Oil Production",yes,-46,no,yes,,no,no,no,516,7668.5,3479.2,-8.2,784.3,-37.2,14097.3,Public,7669
822,H&R Block,,Financials,Diversified Financials,yes,6,yes,no,,no,no,no,39200,6851.9,3472.2,0.3,553.7,,3072.3,Public,6852
823,Alpha Metallurgical Resources,,Energy,"Mining, Crude-Oil Production",yes,-91,no,yes,,no,no,no,4160,4307.6,3471.4,-15.4,722,-50.2,2406.1,Public,4308
824,Patrick Industries,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,-165,no,yes,,no,no,no,10000,2674,3468,-29,142.9,-56.5,2562.4,Public,2674
825,Murphy Oil,,Energy,"Mining, Crude-Oil Production",yes,-73,no,yes,,no,no,no,725,6972.7,3460.1,-12,661.6,-31.4,9766.7,Public,6973
826,Synovus Financial,,Financials,Commercial Banks,yes,163,yes,no,,no,no,no,4798,5865.5,3454.4,39,543.7,-28.3,59809.5,Public,5866
827,Cracker Barrel Old Country Store,,"Hotels, Restaurants & Leisure",Food Services,yes,31,yes,no,,no,no,no,77000,1614.7,3442.8,5.4,99.1,-24.9,2218.1,Public,1615
828,Cheesecake Factory,,"Hotels, Restaurants & Leisure",Food Services,yes,24,yes,no,,no,no,yes,47900,1847.8,3439.5,4.1,101.4,135,2840.4,Public,1848
829,CNX Resources,,Energy,"Mining, Crude-Oil Production",yes,0,no,no,,no,no,no,470,3632.4,3434.9,172.4,1720.7,,8626.7,Public,3632
830,Chefs' Warehouse,,Wholesalers,Wholesalers: Food and Grocery,yes,131,yes,no,,no,no,no,4873,1499.2,3433.8,31.4,34.6,24.6,1705.3,Public,1499
831,Donaldson,,Industrials,Industrial Machinery,yes,20,yes,no,,no,no,no,13000,8989.2,3430.8,3.8,358.8,7.8,2770.5,Public,8989
832,Mueller Industries,,Industrials,Industrial Machinery,yes,-88,no,yes,,no,no,no,4509,6126.3,3420.3,-14.1,602.9,-8.4,2759.3,Public,6126
833,MRC Global,,Wholesalers,Wholesalers: Diversified,yes,4,yes,no,,no,no,no,2800,1060.8,3412,1.5,114,52,1886,Public,1061
834,Chart Industries,,Industrials,Industrial Machinery,yes,0,no,no,,no,no,no,11637,6964,3411.3,111.6,47.3,97.1,9102.4,Public,6964
835,Alight,,Business Services,Diversified Outsourcing Services,no,39,yes,no,,no,no,no,18000,5545.4,3410,8.9,-345,,10782,Public,5545
836,Vishay Intertechnology,,Technology,Semiconductors and Other Electronic Components,yes,-14,no,yes,,no,no,no,23500,3118.6,3402,-2.7,323.8,-24.5,4239.9,Public,3119
837,Range Resources,,Energy,"Mining, Crude-Oil Production",yes,-111,no,yes,,no,no,no,548,8352.5,3374.4,-18.6,871.1,-26.4,7203.9,Public,8353
838,Valley National Bancorp,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,3749,4050.7,3364.6,54.1,498.5,-12.4,60935,Public,4051
839,Match Group,,Technology,Internet Services and Retailing,yes,30,yes,no,,no,no,no,2610,9723.5,3364.5,5.5,651.5,80,4507.9,Public,9724
840,Gen Digital,,Technology,Computer Software,yes,79,yes,no,,no,no,no,3700,14266.8,3338,19.4,1349,61.4,15947,Public,14267
841,Wintrust Financial,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,5521,6417.1,3327.2,50.7,622.6,22.2,56259.9,Public,6417
842,Moog,,Aerospace & Defense,Aerospace & Defense,yes,44,yes,no,,no,no,no,13500,5306.8,3319.1,9.3,171,10.2,3808,Public,5307
843,First Solar,,Energy,Energy,yes,115,yes,no,,no,no,no,6700,18068,3318.6,26.7,830.8,,10365.1,Public,18068
844,Central Garden & Pet,,Household Products,Household and Personal Products,yes,0,no,no,,no,no,no,6500,2435.1,3310.1,-0.9,125.6,-17.4,3378.6,Public,2435
845,Green Plains,,Energy,Energy,no,-52,no,yes,,no,no,no,921,1494.6,3295.7,-10,-93.4,,1939.3,Public,1495
846,Werner Enterprises,,Transportation,"Trucking, Truck Leasing",yes,8,yes,no,,no,no,no,13809,2482.9,3283.5,-0.2,112.4,-53.4,3157.9,Public,2483
847,AppLovin,,Technology,Computer Software,yes,67,yes,no,,no,no,no,1731,22795.6,3283.1,16.5,356.7,,5359.2,Public,22796
848,ITT,,Industrials,Industrial Machinery,yes,47,yes,no,,no,no,no,10600,11168.1,3283,9.9,410.5,11.9,3932.6,Public,11168
849,Herc Holdings,,Business Services,Equipment Leasing,yes,86,yes,no,,no,no,no,7200,4773,3282,19.8,347,5.2,7061,Public,4773
850,Gray Television,,Media,Entertainment,no,-58,no,yes,,no,no,no,9649,634.8,3281,-10.7,-76,-116.7,10640,Public,635
851,IDEX,,Industrials,Industrial Machinery,yes,20,yes,no,,no,no,no,8800,18469.6,3273.9,2.9,596.1,1.6,5865.2,Public,18470
852,Boston Properties,,Financials,Real estate,yes,26,yes,no,,no,no,no,836,10254.4,3273.6,5.3,190.2,-77.6,26026.1,Public,10254
853,Pitney Bowes,,Technology,Computer Software,no,-38,no,yes,,no,no,no,10500,764.4,3266.3,-7.7,-385.6,-1143.9,4272.2,Public,764
854,Steelcase,,Household Products,"Home Equipment, Furnishings",yes,75,yes,no,,no,yes,no,12250,1494,3232.6,16.6,35.3,782.5,2202.8,Public,1494
855,Sun Communities,,Financials,Real estate,no,44,yes,no,,no,no,no,6757,15996.9,3224.6,8.6,-213.3,-188.1,16940.7,Public,15997
856,AdaptHealth,,Health Care,Wholesalers: Health Care,no,42,yes,no,,no,no,no,10700,1529.8,3200.2,7.7,-678.9,-1079.4,4508.7,Public,1530
857,Vertex Energy,,Energy,Petroleum Refining,no,54,yes,no,,no,no,no,481,130.9,3184.6,10.7,-71.5,,854.6,Public,131
858,Genesis Energy,,Energy,Pipelines,yes,64,yes,no,,no,no,no,2137,1361.8,3177,13.9,117.7,56,7018.8,Public,1362
859,Jackson Financial,,Financials,"Insurance: Life, Health (stock)",yes,-577,no,yes,,no,no,no,3428,5120,3159,-78.3,934,-83.6,330255,Public,5120
860,FirstCash Holdings,,Retailing,Specialty Retailers: Other,yes,78,yes,no,,no,no,no,19000,5753.1,3151.8,15.5,219.3,-13.5,4289.9,Public,5753
861,Cal-Maine Foods,,"Food, Beverages & Tobacco",Food Production,yes,0,no,no,,no,no,no,2896,2882.6,3146.2,77,758,471.4,1954.5,Public,2883
862,Arch Resources,,Energy,"Mining, Crude-Oil Production",yes,-75,no,yes,,no,no,no,3404,2933.8,3145.8,-15.5,464,-65.1,2484.2,Public,2934
863,Avient,,Chemicals,Chemicals,yes,-194,no,yes,,no,no,no,9300,3960.5,3142.8,-33.5,75.7,-89.2,5968.5,Public,3961
864,Cano Health,,Health Care,Health Care: Medical Facilities,no,70,yes,no,,no,no,no,2700,1.2,3137.8,14.6,-594.4,,1013.7,Private,1
865,BlueLinx Holdings,,Wholesalers,Wholesalers: Diversified,yes,-166,no,yes,,no,no,no,1990,1126.6,3136.4,-29.5,48.5,-83.6,1537.6,Public,1127
866,Sinclair,,Media,Entertainment,no,-112,no,yes,,no,no,no,7300,856.7,3134,-20.2,-291,-111,6085,Public,857
867,BOK Financial,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,4966,5945.7,3132.4,53.9,530.7,2,49824.8,Public,5946
868,Permian Resources,,Energy,"Mining, Crude-Oil Production",yes,0,no,no,,no,no,no,461,13631.1,3120.9,46.4,476.3,-7.5,14965.6,Public,13631
869,PACS Group,,Health Care,Health Care: Medical Facilities,yes,0,no,no,,no,no,no,32433,,3111.5,28.5,112.9,-25,3512.7,Public,
870,Coinbase Global,,Financials,Securities,yes,-2,no,yes,,no,no,no,3416,64232,3108.4,-2.7,94.9,,206983,Public,64232
871,Western Midstream Partners,,Energy,Pipelines,yes,-11,no,yes,,no,no,no,1377,13526.2,3106.5,-4.5,1022.2,-16,12471.6,Public,13526
