Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
133,Arrow Electronics,,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,-24,no,yes,,yes,yes,no,22100,6988.1,33107.1,-10.8,903.5,-36.7,21726.2,Public,6525
134,3M,,Chemicals,Chemicals,no,-18,no,yes,,yes,yes,no,85000,58695,32681,-4.5,-6995,-221.1,50580,Public,56841
135,Visa,,Business Services,Financial Data Services,yes,2,yes,no,,no,yes,yes,28800,560847.5,32653,11.4,17273,15.5,90499,Public,551134
136,Apollo Global Management,,Financials,Securities,yes,220,yes,no,,no,no,no,6855,63889.7,32644,180.8,5047,,313488,Public,69703
137,HF Sinclair,,Energy,Petroleum Refining,yes,-30,no,yes,,yes,no,no,5218,11987.6,31964.4,-16.3,1589.7,-45.6,17716.3,Public,11988
138,CBRE Group,,Financials,Real estate,yes,-3,no,yes,,no,yes,no,130000,29725.9,31949,3.6,986,-29.9,22548,Public,29726
139,PNC Financial Services Group,,Financials,Commercial Banks,yes,29,yes,no,,no,yes,no,55612,64291.8,31882,35.4,5578,-7.7,561580,Public,64292
140,Lithia Motors,,Retailing,"Automotive Retailing, Services",yes,5,yes,no,,no,no,no,25051,8283,31310.9,10.6,1000.8,-20,19632.5,Public,8283
141,CarMax,,Retailing,"Automotive Retailing, Services",yes,-17,no,yes,,yes,no,yes,30621,13756.5,31126.4,-6.2,484.8,-57.9,26182.7,Public,13757
142,Paramount Global,,Media,Entertainment,no,-8,no,yes,,yes,no,no,24150,8099,30610,-2.3,-608,-155.1,53543,Public,8099
143,Dollar Tree,,Retailing,Specialty Retailers: Other,no,1,yes,no,,no,no,no,138860,29024.4,30603.8,8,-998.4,-161.8,22023.5,Public,29024
144,United Natural Foods,,Wholesalers,Wholesalers: Food and Grocery,yes,-5,no,yes,,no,no,no,29455,682.9,30272,4.6,24,-90.3,7394,Public,683
145,PayPal Holdings,,Business Services,Financial Data Services,yes,3,yes,no,,no,yes,no,27200,71796,29771,8.2,4246,75.5,82166,Public,71796
146,Penske Automotive Group,,Retailing,"Automotive Retailing, Services",yes,1,yes,no,,no,yes,no,28000,10861,29527.4,6.2,1053.2,-23.7,15671.5,Public,10861
147,Hewlett Packard Enterprise,,Technology,"Computers, Office Equipment",yes,-4,no,yes,,no,yes,yes,62000,23049,29135,2.2,2025,133.3,57153,Public,23049
148,Duke Energy,,Energy,Utilities: Gas and Electric,yes,-7,no,yes,,no,yes,no,27037,74607.9,28932,0.5,2841,11.4,176893,Public,74608
149,Occidental Petroleum,,Energy,"Mining, Crude-Oil Production",yes,-39,no,yes,,yes,no,no,12570,57611.3,28918,-22,4696,-64.7,74008,Public,57611
150,NRG Energy,,Energy,Energy,no,-20,no,yes,,yes,no,no,18131,14535.4,28823,-8.6,-202,-116.5,26038,Public,14535
151,Amgen,,Health Care,Pharmaceuticals,yes,3,yes,no,,no,yes,no,26700,152372.5,28190,7.1,6717,2.5,97154,Public,152373
