Year,Company ,Category,EBIDTA Margins (%),Revenue,Revenue Growth,Gross Profit,EBITDA,EBITDA Growth,Cash Flow from Operations,Cash Flow From Operations % of Sales,Modified Free Cash Flow,EBITDA per Employee,Debt/Equity Ratio,Number of Employees,,,,,,,,,,,,,
2014,AMZN,LOGI,0.053699028,74452,21.8666623,20271,3998,41.02292769,5475,0.073537313,5475,0.034083546,0.3274,117300,,,,,,,,,,,,,
2013,AMZN,LOGI,0.046404662,61093,27.07323668,15122,2835,45.75835476,4180,0.068420277,4180,0.032070136,0.3765,88400,,,,,,,,,,,,,
2012,AMZN,LOGI,0.040455935,48077,40.55958367,10789,1945,-1.469098278,3903,0.08118227,3903,0.034608541,0.0329,56200,,,,,,,,,,,,,
2011,AMZN,LOGI,0.057712548,34204,39.55689747,7643,1974,30.98871931,3495,0.102181031,3495,0.058575668,0.2274,33700,,,,,,,,,,,,,
2010,AMZN,LOGI,0.061487617,24509,-95.23155435,5531,1507,-97.217966,3293,0.134358807,3293,0.062016461,0.2007,24300,,,,,,,,,,,,,
2009,AMZN,LOGI,0.105390645,513983,,225152,54169,,46752,0.090960207,46752,0.035151849,0.4598,1541000,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
